<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.15	19:30:00	68477	68535	68370	68530	2075	0	20
2026.01.15	19:35:00	68522	68572	68496	68543	1848	0	20
2026.01.15	19:40:00	68540	68554	68439	68498	2333	0	20
2026.01.15	19:45:00	68455	68577	68433	68551	2762	0	20
2026.01.15	19:50:00	68549	68566	68423	68532	2465	0	20
2026.01.15	19:55:00	68514	68581	68443	68577	2944	0	20
2026.01.15	20:00:00	68571	68621	68488	68601	2405	0	20
2026.01.15	20:05:00	68590	68625	68469	68583	2238	0	20
2026.01.15	20:10:00	68583	68622	68485	68588	2179	0	20
2026.01.15	20:15:00	68527	68620	68475	68597	2184	0	20
2026.01.15	20:20:00	68608	68620	68468	68554	2592	0	20
2026.01.15	20:25:00	68589	68612	68464	68579	2384	0	20
2026.01.15	20:30:00	68528	68587	68397	68439	1886	0	20
2026.01.15	20:35:00	68537	68576	68439	68566	1393	0	20
2026.01.15	20:40:00	68566	68572	68406	68530	2323	0	20
2026.01.15	20:45:00	68528	68605	68426	68580	1990	0	20
2026.01.15	20:50:00	68586	68592	68454	68526	1465	0	20
2026.01.15	20:55:00	68550	68568	68445	68523	1191	0	20
2026.01.15	21:00:00	68563	68608	68456	68588	1827	0	21
2026.01.15	21:05:00	68586	68602	68479	68601	2232	0	20
2026.01.15	21:10:00	68601	68604	68455	68553	1537	0	20
2026.01.15	21:15:00	68553	68575	68452	68560	1661	0	20
2026.01.15	21:20:00	68557	68574	68454	68532	1254	0	23
2026.01.15	21:25:00	68532	68583	68446	68574	1323	0	20
2026.01.15	21:30:00	68570	68579	68451	68556	1706	0	20
2026.01.15	21:35:00	68565	68593	68444	68549	1326	0	20
2026.01.15	21:40:00	68547	68565	68453	68561	1880	0	20
2026.01.15	21:45:00	68563	68568	68445	68536	1671	0	20
2026.01.15	21:50:00	68545	68552	68446	68543	916	0	20
2026.01.15	21:55:00	68543	68552	68420	68519	1864	0	20
2026.01.15	22:00:00	68536	68548	68383	68513	1668	0	20
2026.01.15	22:05:00	68511	68514	68363	68386	1982	0	20
2026.01.15	22:10:00	68384	68434	68279	68384	2750	0	20
2026.01.15	22:15:00	68384	68442	68229	68357	2695	0	20
2026.01.15	22:20:00	68311	68415	68256	68384	3040	0	20
2026.01.15	22:25:00	68380	68401	68237	68336	2941	0	20
2026.01.15	22:30:00	68358	68439	68275	68421	2366	0	20
2026.01.15	22:35:00	68423	68459	68336	68432	2447	0	20
2026.01.15	22:40:00	68430	68456	68301	68437	2394	0	20
2026.01.15	22:45:00	68428	68445	68291	68397	2098	0	20
2026.01.15	22:50:00	68405	68426	68285	68393	2020	0	20
2026.01.15	22:55:00	68404	68408	68270	68385	2545	0	20
2026.01.15	23:00:00	68386	68446	68277	68386	962	0	21
2026.01.15	23:05:00	68386	68471	68321	68431	1087	0	23
2026.01.15	23:10:00	68448	68472	68349	68454	1198	0	24
2026.01.15	23:15:00	68469	68495	68362	68477	1275	0	21
2026.01.15	23:20:00	68442	68500	68387	68468	967	0	24
2026.01.15	23:25:00	68468	68521	68398	68485	1026	0	21
2026.01.15	23:30:00	68497	68518	68404	68507	653	0	25
2026.01.15	23:35:00	68522	68525	68398	68499	781	0	24
2026.01.15	23:40:00	68488	68517	68404	68471	613	0	62
2026.01.15	23:45:00	68517	68530	68389	68491	762	0	54
2026.01.15	23:50:00	68488	68514	68395	68483	621	0	92
2026.01.15	23:55:00	68480	68522	68391	68425	513	0	110
2026.01.16	00:00:00	68492	68492	68492	68492	4	0	129
2026.01.16	00:05:00	68492	68521	68390	68499	22	0	115
2026.01.16	00:10:00	68499	68521	68390	68477	49	0	113
2026.01.16	00:15:00	68477	68499	68381	68381	24	0	116
2026.01.16	00:20:00	68490	68521	68381	68381	33	0	116
2026.01.16	00:25:00	68484	68521	68359	68381	28	0	116
2026.01.16	00:30:00	68484	68499	68346	68364	31	0	116
2026.01.16	00:35:00	68346	68499	68346	68405	24	0	116
2026.01.16	00:40:00	68477	68521	68390	68405	28	0	116
2026.01.16	00:45:00	68477	68521	68390	68405	34	0	76
2026.01.16	00:50:00	68486	68521	68390	68394	30	0	76
2026.01.16	00:55:00	68481	68521	68390	68394	31	0	116
2026.01.16	01:00:00	68359	68543	68359	68473	522	0	94
2026.01.16	01:05:00	68527	68563	68402	68478	927	0	72
2026.01.16	01:10:00	68533	68544	68357	68415	1026	0	72
2026.01.16	01:15:00	68463	68487	68341	68450	1757	0	70
2026.01.16	01:20:00	68455	68491	68327	68451	1140	0	70
2026.01.16	01:25:00	68422	68463	68283	68401	1594	0	70
2026.01.16	01:30:00	68401	68436	68261	68402	1810	0	51
2026.01.16	01:35:00	68291	68458	68287	68396	1048	0	12
2026.01.16	01:40:00	68429	68444	68280	68298	1025	0	10
2026.01.16	01:45:00	68397	68412	68270	68275	1433	0	42
2026.01.16	01:50:00	68384	68425	68270	68402	1054	0	9
2026.01.16	01:55:00	68296	68450	68282	68448	1211	0	10
2026.01.16	02:00:00	68446	68449	68333	68365	1455	0	12
2026.01.16	02:05:00	68399	68422	68247	68337	1074	0	33
2026.01.16	02:10:00	68372	68395	68268	68373	860	0	14
2026.01.16	02:15:00	68373	68452	68278	68407	1124	0	10
2026.01.16	02:20:00	68363	68470	68291	68393	1015	0	10
2026.01.16	02:25:00	68361	68424	68295	68398	964	0	9
2026.01.16	02:30:00	68420	68426	68231	68354	1593	0	10
2026.01.16	02:35:00	68354	68378	68230	68352	2855	0	20
2026.01.16	02:40:00	68350	68393	68252	68343	2267	0	20
2026.01.16	02:45:00	68361	68406	68249	68395	1711	0	11
2026.01.16	02:50:00	68388	68406	68330	68339	1329	0	20
2026.01.16	02:55:00	68337	68402	68337	68359	1875	0	12
2026.01.16	03:00:00	68359	68381	68237	68348	3491	0	9
2026.01.16	03:05:00	68348	68420	68219	68413	2893	0	16
2026.01.16	03:10:00	68415	68427	68282	68409	2745	0	16
2026.01.16	03:15:00	68407	68431	68353	68387	2372	0	20
2026.01.16	03:20:00	68400	68414	68358	68408	2152	0	9
2026.01.16	03:25:00	68408	68450	68386	68428	2447	0	20
2026.01.16	03:30:00	68435	68456	68350	68376	2067	0	10
2026.01.16	03:35:00	68378	68448	68303	68425	2075	0	15
2026.01.16	03:40:00	68412	68470	68316	68415	2440	0	9
2026.01.16	03:45:00	68415	68424	68285	68383	2534	0	14
2026.01.16	03:50:00	68381	68399	68245	68375	2676	0	14
2026.01.16	03:55:00	68376	68401	68273	68368	2500	0	20
2026.01.16	04:00:00	68370	68429	68287	68339	3094	0	9
2026.01.16	04:05:00	68360	68390	68311	68334	2381	0	16
2026.01.16	04:10:00	68360	68381	68212	68310	2594	0	10
2026.01.16	04:15:00	68312	68389	68245	68356	2068	0	13
2026.01.16	04:20:00	68345	68401	68336	68351	2150	0	20
2026.01.16	04:25:00	68353	68360	68226	68310	2012	0	13
2026.01.16	04:30:00	68219	68330	68153	68247	3530	0	20
2026.01.16	04:35:00	68252	68273	68199	68240	3708	0	20
2026.01.16	04:40:00	68237	68253	68199	68223	2489	0	20
2026.01.16	04:45:00	68225	68279	68122	68219	2701	0	9
2026.01.16	04:50:00	68217	68250	68162	68177	2197	0	20
2026.01.16	04:55:00	68179	68233	68128	68144	2314	0	16
2026.01.16	05:00:00	68231	68272	68138	68250	2583	0	13
2026.01.16	05:05:00	68252	68288	68202	68236	2160	0	13
2026.01.16	05:10:00	68238	68247	68109	68208	1947	0	13
2026.01.16	05:15:00	68210	68233	68106	68211	1797	0	10
2026.01.16	05:20:00	68193	68223	68095	68201	1865	0	20
2026.01.16	05:25:00	68192	68217	68091	68179	1632	0	9
2026.01.16	05:30:00	68183	68195	68026	68118	1581	0	10
2026.01.16	05:35:00	68136	68192	68049	68187	1021	0	10
2026.01.16	05:40:00	68185	68195	68067	68179	910	0	9
2026.01.16	05:45:00	68179	68195	68062	68159	1565	0	14
2026.01.16	05:50:00	68174	68191	68068	68183	1023	0	10
2026.01.16	05:55:00	68183	68191	68078	68181	1361	0	12
2026.01.16	06:00:00	68181	68215	68074	68188	912	0	9
2026.01.16	06:05:00	68206	68218	68092	68213	1199	0	9
2026.01.16	06:10:00	68213	68227	68106	68208	1046	0	10
2026.01.16	06:15:00	68176	68228	68113	68212	985	0	12
2026.01.16	06:20:00	68229	68243	68132	68187	1192	0	9
2026.01.16	06:25:00	68191	68199	68084	68158	829	0	13
2026.01.16	06:30:00	68132	68176	68070	68136	847	0	9
2026.01.16	06:35:00	68127	68175	68029	68173	939	0	12
2026.01.16	06:40:00	68162	68182	68056	68162	984	0	10
2026.01.16	06:45:00	68166	68182	68062	68147	1074	0	9
2026.01.16	06:50:00	68151	68185	68082	68183	1261	0	12
2026.01.16	06:55:00	68186	68213	68104	68149	982	0	16
2026.01.16	07:00:00	68171	68219	68099	68207	898	0	12
2026.01.16	07:05:00	68207	68212	68078	68164	1117	0	13
2026.01.16	07:10:00	68179	68191	68040	68152	1374	0	9
2026.01.16	07:15:00	68152	68160	68052	68131	1304	0	14
2026.01.16	07:20:00	68149	68177	68063	68170	917	0	9
2026.01.16	07:25:00	68137	68188	68073	68128	1100	0	11
2026.01.16	07:30:00	68183	68219	68031	68156	2666	0	14
2026.01.16	07:35:00	68158	68239	68088	68214	2161	0	9
2026.01.16	07:40:00	68229	68285	68132	68266	1796	0	10
2026.01.16	07:45:00	68285	68375	68187	68336	2261	0	9
2026.01.16	07:50:00	68354	68381	68254	68377	1829	0	12
2026.01.16	07:55:00	68382	68455	68279	68391	2007	0	14
2026.01.16	08:00:00	68393	68406	68232	68327	2163	0	13
2026.01.16	08:05:00	68282	68361	68229	68323	1815	0	9
2026.01.16	08:10:00	68340	68344	68222	68276	2278	0	10
2026.01.16	08:15:00	68280	68305	68174	68261	2153	0	14
2026.01.16	08:20:00	68298	68361	68196	68348	2078	0	10
2026.01.16	08:25:00	68352	68353	68227	68286	1978	0	10
2026.01.16	08:30:00	68304	68360	68169	68328	2510	0	9
2026.01.16	08:35:00	68330	68340	68216	68318	1525	0	12
2026.01.16	08:40:00	68274	68328	68147	68205	2256	0	12
2026.01.16	08:45:00	68203	68245	68082	68219	2917	0	14
2026.01.16	08:50:00	68219	68263	68186	68220	2440	0	20
2026.01.16	08:55:00	68218	68251	68134	68211	1773	0	9
2026.01.16	09:00:00	68190	68285	68171	68273	1727	0	14
2026.01.16	09:05:00	68275	68341	68266	68338	1473	0	20
2026.01.16	09:10:00	68337	68428	68243	68392	1650	0	15
2026.01.16	09:15:00	68390	68394	68344	68376	1534	0	20
2026.01.16	09:20:00	68378	68391	68230	68318	1399	0	16
2026.01.16	09:25:00	68321	68350	68248	68309	1381	0	14
2026.01.16	09:30:00	68322	68348	68206	68322	1947	0	13
2026.01.16	09:35:00	68348	68411	68254	68328	2249	0	14
2026.01.16	09:40:00	68330	68342	68190	68263	1723	0	10
2026.01.16	09:45:00	68265	68375	68244	68250	1781	0	20
2026.01.16	09:50:00	68352	68363	68241	68335	1022	0	16
2026.01.16	09:55:00	68339	68394	68238	68365	1076	0	10
2026.01.16	10:00:00	68370	68407	68238	68342	1736	0	11
2026.01.16	10:05:00	68355	68373	68210	68314	1108	0	9
2026.01.16	10:10:00	68318	68360	68206	68304	1226	0	18
2026.01.16	10:15:00	68307	68348	68281	68333	1082	0	9
2026.01.16	10:20:00	68335	68374	68287	68367	1467	0	10
2026.01.16	10:25:00	68365	68380	68271	68306	1493	0	18
2026.01.16	10:30:00	68306	68331	68197	68258	1393	0	13
2026.01.16	10:35:00	68273	68294	68200	68265	1346	0	14
2026.01.16	10:40:00	68267	68277	68142	68207	1218	0	15
2026.01.16	10:45:00	68209	68266	68203	68249	1297	0	14
2026.01.16	10:50:00	68219	68318	68146	68305	1284	0	9
2026.01.16	10:55:00	68302	68318	68148	68259	788	0	13
2026.01.16	11:00:00	68255	68282	68147	68272	401	0	13
2026.01.16	11:05:00	68270	68313	68163	68254	422	0	11
2026.01.16	11:10:00	68270	68289	68154	68248	364	0	12
2026.01.16	11:15:00	68246	68262	68156	68247	384	0	20
2026.01.16	11:20:00	68233	68260	68126	68213	349	0	19
2026.01.16	11:25:00	68226	68262	68148	68251	348	0	14
2026.01.16	11:30:00	68246	68254	68204	68238	327	0	22
2026.01.16	11:35:00	68240	68284	68170	68269	310	0	16
2026.01.16	11:40:00	68227	68327	68201	68311	342	0	13
2026.01.16	11:45:00	68301	68313	68196	68276	275	0	15
2026.01.16	11:50:00	68265	68304	68181	68302	346	0	15
2026.01.16	11:55:00	68323	68339	68199	68306	336	0	18
2026.01.16	12:00:00	68291	68359	68291	68344	324	0	18
2026.01.16	12:05:00	68343	68368	68286	68341	384	0	14
2026.01.16	12:10:00	68339	68389	68332	68372	356	0	18
2026.01.16	12:15:00	68367	68407	68352	68397	304	0	14
2026.01.16	12:20:00	68407	68437	68289	68432	370	0	20
2026.01.16	12:25:00	68429	68438	68311	68374	341	0	20
2026.01.16	12:30:00	68376	68412	68278	68403	534	0	13
2026.01.16	12:35:00	68391	68408	68289	68393	740	0	13
2026.01.16	12:40:00	68391	68396	68277	68386	819	0	9
2026.01.16	12:45:00	68351	68405	68283	68358	984	0	13
2026.01.16	12:50:00	68397	68406	68264	68361	1352	0	9
2026.01.16	12:55:00	68352	68383	68216	68335	1240	0	14
2026.01.16	13:00:00	68338	68371	68263	68338	1699	0	18
2026.01.16	13:05:00	68328	68365	68274	68355	1332	0	14
2026.01.16	13:10:00	68344	68429	68285	68412	1305	0	9
2026.01.16	13:15:00	68423	68452	68321	68445	1163	0	10
2026.01.16	13:20:00	68429	68462	68351	68454	1125	0	10
2026.01.16	13:25:00	68454	68477	68346	68471	1108	0	9
2026.01.16	13:30:00	68471	68488	68348	68473	1244	0	18
2026.01.16	13:35:00	68475	68492	68377	68472	1062	0	18
2026.01.16	13:40:00	68461	68519	68396	68518	1068	0	14
2026.01.16	13:45:00	68516	68525	68383	68398	1083	0	13
2026.01.16	13:50:00	68398	68504	68392	68488	800	0	16
2026.01.16	13:55:00	68493	68505	68358	68461	1027	0	14
2026.01.16	14:00:00	68448	68464	68326	68433	1801	0	14
2026.01.16	14:05:00	68425	68482	68346	68349	1082	0	14
2026.01.16	14:10:00	68449	68475	68343	68446	1097	0	12
2026.01.16	14:15:00	68454	68492	68352	68467	1011	0	12
2026.01.16	14:20:00	68467	68474	68321	68405	1294	0	14
2026.01.16	14:25:00	68407	68465	68289	68358	1384	0	14
2026.01.16	14:30:00	68450	68455	68322	68426	1351	0	14
2026.01.16	14:35:00	68424	68446	68365	68413	1158	0	16
2026.01.16	14:40:00	68426	68453	68321	68424	1345	0	18
2026.01.16	14:45:00	68424	68479	68323	68472	1285	0	18
2026.01.16	14:50:00	68474	68493	68378	68432	1721	0	14
2026.01.16	14:55:00	68397	68468	68373	68442	2047	0	15
2026.01.16	15:00:00	68434	68495	68277	68379	4044	0	18
2026.01.16	15:05:00	68378	68446	68261	68363	3439	0	14
2026.01.16	15:10:00	68361	68387	68246	68352	2732	0	11
2026.01.16	15:15:00	68315	68376	68103	68260	3483	0	16
2026.01.16	15:20:00	68263	68347	68101	68307	3891	0	20
2026.01.16	15:25:00	68309	68352	68174	68254	3974	0	20
2026.01.16	15:30:00	68253	68385	68231	68359	3677	0	20
2026.01.16	15:35:00	68359	68422	68273	68337	3573	0	16
2026.01.16	15:40:00	68337	68438	68267	68408	3366	0	14
2026.01.16	15:45:00	68412	68440	68284	68421	2564	0	14
2026.01.16	15:50:00	68421	68437	68282	68384	2589	0	11
2026.01.16	15:55:00	68382	68459	68299	68418	2272	0	16
2026.01.16	16:00:00	68410	68480	68304	68479	3060	0	15
2026.01.16	16:05:00	68446	68536	68395	68473	2641	0	13
2026.01.16	16:10:00	68475	68553	68403	68532	2446	0	12
2026.01.16	16:15:00	68530	68569	68486	68510	2081	0	16
2026.01.16	16:20:00	68500	68531	68462	68470	2433	0	16
2026.01.16	16:25:00	68467	68519	68347	68404	2430	0	15
2026.01.16	16:30:00	68404	68524	68271	68518	4235	0	17
2026.01.16	16:35:00	68431	68587	68384	68448	3094	0	11
2026.01.16	16:40:00	68450	68527	68363	68481	3301	0	14
2026.01.16	16:45:00	68477	68562	68414	68534	3306	0	20
2026.01.16	16:50:00	68491	68558	68400	68528	3375	0	20
2026.01.16	16:55:00	68532	68534	68448	68459	2850	0	20
2026.01.16	17:00:00	68444	68565	68369	68551	3068	0	18
2026.01.16	17:05:00	68546	68616	68456	68474	3182	0	20
2026.01.16	17:10:00	68559	68613	68450	68559	2703	0	12
2026.01.16	17:15:00	68550	68627	68358	68399	3182	0	18
2026.01.16	17:20:00	68397	68537	68223	68239	4673	0	18
2026.01.16	17:25:00	68243	68312	67937	67980	5465	0	20
2026.01.16	17:30:00	67976	68068	67583	67696	5741	0	20
2026.01.16	17:35:00	67696	67911	67605	67797	5283	0	20
2026.01.16	17:40:00	67795	67941	67748	67893	4764	0	18
2026.01.16	17:45:00	67891	68124	67870	68089	4642	0	18
2026.01.16	17:50:00	68081	68122	67848	68098	4819	0	20
2026.01.16	17:55:00	68094	68155	68009	68108	4359	0	13
2026.01.16	18:00:00	68106	68228	68037	68194	4435	0	20
2026.01.16	18:05:00	68191	68341	68165	68282	4376	0	18
2026.01.16	18:10:00	68282	68375	68152	68352	3908	0	20
2026.01.16	18:15:00	68351	68399	68211	68350	4233	0	18
2026.01.16	18:20:00	68348	68391	68230	68331	3407	0	11
2026.01.16	18:25:00	68333	68404	68232	68334	3323	0	20
2026.01.16	18:30:00	68336	68392	68259	68314	3318	0	20
2026.01.16	18:35:00	68314	68430	68219	68380	2985	0	12
2026.01.16	18:40:00	68378	68424	68274	68381	2846	0	20
2026.01.16	18:45:00	68381	68402	68136	68254	3158	0	20
2026.01.16	18:50:00	68255	68287	68100	68225	3402	0	14
2026.01.16	18:55:00	68225	68342	68131	68305	3048	0	20
2026.01.16	19:00:00	68305	68314	68148	68252	2648	0	20
2026.01.16	19:05:00	68254	68334	68128	68270	2654	0	18
2026.01.16	19:10:00	68272	68323	68175	68278	2114	0	18
2026.01.16	19:15:00	68287	68292	68160	68204	2406	0	18
2026.01.16	19:20:00	68206	68234	68111	68206	2854	0	20
2026.01.16	19:25:00	68206	68208	68031	68131	2900	0	20
2026.01.16	19:30:00	68133	68236	68062	68207	2741	0	20
2026.01.16	19:35:00	68168	68259	68087	68236	2045	0	20
2026.01.16	19:40:00	68236	68252	68091	68157	1640	0	16
2026.01.16	19:45:00	68172	68195	68066	68172	2355	0	14
2026.01.16	19:50:00	68172	68206	68061	68169	1973	0	13
2026.01.16	19:55:00	68180	68196	68059	68174	2349	0	20
2026.01.16	20:00:00	68172	68286	68074	68266	2388	0	20
2026.01.16	20:05:00	68264	68283	68154	68241	2649	0	20
2026.01.16	20:10:00	68241	68255	68102	68226	2448	0	20
2026.01.16	20:15:00	68226	68258	68100	68229	2123	0	20
2026.01.16	20:20:00	68144	68309	68141	68261	2535	0	20
2026.01.16	20:25:00	68261	68323	68168	68287	2194	0	22
2026.01.16	20:30:00	68298	68392	68178	68347	2613	0	20
2026.01.16	20:35:00	68340	68361	68221	68333	1898	0	20
2026.01.16	20:40:00	68333	68388	68240	68377	2082	0	20
2026.01.16	20:45:00	68279	68380	68157	68278	2056	0	21
2026.01.16	20:50:00	68287	68297	68159	68256	2075	0	18
2026.01.16	20:55:00	68264	68269	68086	68183	2681	0	20
2026.01.16	21:00:00	68196	68228	68088	68228	2232	0	20
2026.01.16	21:05:00	68228	68263	68095	68199	2032	0	20
2026.01.16	21:10:00	68199	68224	68088	68192	2183	0	20
2026.01.16	21:15:00	68201	68236	68074	68188	1759	0	20
2026.01.16	21:20:00	68195	68227	68074	68204	1617	0	15
2026.01.16	21:25:00	68204	68204	68080	68175	1305	0	16
2026.01.16	21:30:00	68188	68250	68088	68237	1719	0	16
2026.01.16	21:35:00	68250	68270	68142	68244	1487	0	18
2026.01.16	21:40:00	68255	68303	68154	68265	1478	0	20
2026.01.16	21:45:00	68170	68283	68156	68260	1535	0	20
2026.01.16	21:50:00	68271	68304	68156	68284	1783	0	20
2026.01.16	21:55:00	68284	68310	68185	68272	1641	0	20
2026.01.16	22:00:00	68272	68339	68246	68333	2058	0	31
2026.01.16	22:05:00	68333	68350	68307	68334	1331	0	31
2026.01.16	22:10:00	68334	68334	68288	68311	1334	0	31
2026.01.16	22:15:00	68310	68313	68254	68258	1367	0	31
2026.01.16	22:20:00	68258	68276	68243	68257	1428	0	31
2026.01.16	22:25:00	68257	68263	68228	68238	1062	0	30
2026.01.16	22:30:00	68238	68238	68127	68174	2231	0	31
2026.01.16	22:35:00	68174	68217	68158	68194	2384	0	31
2026.01.16	22:40:00	68194	68221	68178	68178	2210	0	31
2026.01.16	22:45:00	68178	68202	68175	68199	2064	0	31
2026.01.16	22:50:00	68199	68251	68190	68248	2130	0	31
2026.01.16	22:55:00	68248	68248	68138	68143	2952	0	31
2026.01.16	23:00:00	68143	68189	68143	68157	2211	0	31
2026.01.16	23:05:00	68157	68176	68152	68168	2772	0	31
2026.01.16	23:10:00	68169	68217	68163	68214	2252	0	31
2026.01.16	23:15:00	68214	68391	68210	68384	1468	0	31
2026.01.16	23:20:00	68384	68386	68311	68315	1643	0	31
2026.01.16	23:25:00	68315	68315	68282	68298	1527	0	31
2026.01.16	23:30:00	68298	68312	68287	68293	554	0	31
2026.01.16	23:35:00	68293	68342	68290	68337	737	0	31
2026.01.16	23:40:00	68337	68349	68316	68329	694	0	35
2026.01.16	23:45:00	68329	68351	68325	68335	662	0	33
2026.01.16	23:50:00	68335	68354	68327	68344	665	0	32
2026.01.16	23:55:00	68344	68361	68337	68359	311	0	31
2026.01.19	00:00:00	68166	68187	68166	68187	6	0	347
2026.01.19	00:05:00	68187	68218	68139	68218	9	0	274
2026.01.19	00:10:00	68218	68279	68183	68279	15	0	235
2026.01.19	00:15:00	68279	68279	68231	68231	12	0	218
2026.01.19	00:20:00	68231	68259	68231	68253	7	0	229
2026.01.19	00:25:00	68253	68270	68231	68255	11	0	203
2026.01.19	00:30:00	68255	68255	68231	68253	10	0	226
2026.01.19	00:35:00	68253	68268	68231	68231	9	0	201
2026.01.19	00:40:00	68268	68276	68137	68276	14	0	201
2026.01.19	00:45:00	68279	68298	68103	68103	15	0	172
2026.01.19	00:50:00	68298	68298	68103	68103	10	0	172
2026.01.19	00:55:00	68263	68272	68092	68272	14	0	190
2026.01.19	01:00:00	68481	69069	68481	69049	1639	0	143
2026.01.19	01:05:00	69050	69265	69021	69132	2555	0	124
2026.01.19	01:10:00	69161	69210	69041	69049	2100	0	64
2026.01.19	01:15:00	69062	69311	69051	69133	2846	0	23
2026.01.19	01:20:00	69144	69286	69073	69222	2847	0	20
2026.01.19	01:25:00	69222	69383	69134	69200	2670	0	21
2026.01.19	01:30:00	69206	69408	69159	69161	2386	0	21
2026.01.19	01:35:00	69163	69232	69098	69135	2177	0	20
2026.01.19	01:40:00	69141	69184	68990	69104	2200	0	20
2026.01.19	01:45:00	69104	69164	68922	69022	2223	0	20
2026.01.19	01:50:00	69022	69158	68997	69131	1826	0	20
2026.01.19	01:55:00	69113	69193	69091	69117	1733	0	10
2026.01.19	02:00:00	69109	69179	69049	69086	2043	0	20
2026.01.19	02:05:00	69062	69125	69000	69061	2697	0	14
2026.01.19	02:10:00	69058	69123	69049	69079	2178	0	9
2026.01.19	02:15:00	69081	69139	69007	69066	2393	0	14
2026.01.19	02:20:00	69071	69269	69047	69196	2419	0	21
2026.01.19	02:25:00	69183	69224	69118	69183	1677	0	18
2026.01.19	02:30:00	69191	69230	69153	69215	1831	0	20
2026.01.19	02:35:00	69217	69251	69157	69186	2400	0	20
2026.01.19	02:40:00	69188	69245	69150	69171	2491	0	12
2026.01.19	02:45:00	69175	69207	69114	69182	2088	0	20
2026.01.19	02:50:00	69171	69188	69090	69103	1851	0	20
2026.01.19	02:55:00	69107	69185	69077	69137	2274	0	18
2026.01.19	03:00:00	69134	69202	69055	69062	4227	0	20
2026.01.19	03:05:00	69064	69162	69029	69084	3737	0	19
2026.01.19	03:10:00	69082	69096	68965	69008	3984	0	20
2026.01.19	03:15:00	69003	69072	68860	68957	3677	0	20
2026.01.19	03:20:00	68952	69033	68875	68888	3062	0	20
2026.01.19	03:25:00	68853	68956	68829	68944	3047	0	18
2026.01.19	03:30:00	68944	68983	68910	68932	3059	0	20
2026.01.19	03:35:00	68886	68964	68839	68872	3214	0	14
2026.01.19	03:40:00	68861	68949	68838	68936	2556	0	13
2026.01.19	03:45:00	68925	68971	68865	68968	2945	0	14
2026.01.19	03:50:00	68966	69022	68926	68943	3076	0	11
2026.01.19	03:55:00	68946	68949	68868	68880	2615	0	19
2026.01.19	04:00:00	68878	68922	68836	68891	3154	0	20
2026.01.19	04:05:00	68877	69016	68870	68981	2892	0	14
2026.01.19	04:10:00	68988	69031	68907	68955	2037	0	13
2026.01.19	04:15:00	68953	69033	68934	68989	1422	0	14
2026.01.19	04:20:00	68994	69025	68911	69002	1372	0	14
2026.01.19	04:25:00	68971	69015	68939	68988	1680	0	13
2026.01.19	04:30:00	68979	69048	68948	68984	2670	0	13
2026.01.19	04:35:00	68981	69010	68918	68972	2328	0	14
2026.01.19	04:40:00	68974	69002	68915	68932	2424	0	20
2026.01.19	04:45:00	68925	68958	68843	68909	2469	0	20
2026.01.19	04:50:00	68907	68963	68894	68947	2707	0	20
2026.01.19	04:55:00	68945	69006	68905	68972	2966	0	14
2026.01.19	05:00:00	68968	69068	68954	68992	1936	0	10
2026.01.19	05:05:00	68992	69039	68943	69034	1643	0	12
2026.01.19	05:10:00	69034	69062	69010	69041	2496	0	20
2026.01.19	05:15:00	69048	69067	68993	69007	1957	0	14
2026.01.19	05:20:00	68998	69026	68936	68983	1988	0	16
2026.01.19	05:25:00	68992	69030	68939	68988	2126	0	20
2026.01.19	05:30:00	68977	69008	68916	68991	1902	0	18
2026.01.19	05:35:00	68989	68995	68932	68953	2116	0	20
2026.01.19	05:40:00	68956	68999	68914	68945	1882	0	14
2026.01.19	05:45:00	68954	68977	68879	68930	1555	0	10
2026.01.19	05:50:00	68897	68966	68880	68942	1378	0	16
2026.01.19	05:55:00	68944	68971	68924	68948	1379	0	20
2026.01.19	06:00:00	68948	68983	68938	68979	1201	0	7
2026.01.19	06:05:00	68964	69013	68912	68981	709	0	12
2026.01.19	06:10:00	68984	68997	68921	68984	1369	0	10
2026.01.19	06:15:00	68982	68984	68899	68962	1304	0	14
2026.01.19	06:20:00	68964	68971	68896	68945	1109	0	14
2026.01.19	06:25:00	68943	69000	68939	68966	1369	0	14
2026.01.19	06:30:00	68922	68982	68893	68960	600	0	10
2026.01.19	06:35:00	68946	68976	68918	68950	1082	0	13
2026.01.19	06:40:00	68928	68966	68909	68952	970	0	14
2026.01.19	06:45:00	68955	68997	68911	68972	1020	0	14
2026.01.19	06:50:00	68968	69010	68940	68995	1454	0	14
2026.01.19	06:55:00	69001	69010	68934	68965	1195	0	14
2026.01.19	07:00:00	68935	69057	68933	69034	1294	0	12
2026.01.19	07:05:00	68997	69089	68986	69034	1358	0	13
2026.01.19	07:10:00	69031	69055	69002	69031	931	0	16
2026.01.19	07:15:00	69040	69060	69004	69034	682	0	14
2026.01.19	07:20:00	69037	69081	69000	69071	1117	0	13
2026.01.19	07:25:00	69073	69081	68996	69022	1231	0	10
2026.01.19	07:30:00	69036	69110	68998	69032	2009	0	14
2026.01.19	07:35:00	69030	69056	68952	68986	1690	0	20
2026.01.19	07:40:00	69002	69010	68922	68953	1768	0	14
2026.01.19	07:45:00	68929	69049	68926	69025	1722	0	16
2026.01.19	07:50:00	69021	69035	68947	68996	1481	0	10
2026.01.19	07:55:00	68987	69073	68968	69001	1604	0	14
